type;value;display;exclude
herb;理血止血藥;仙鶴草;
herb;理血止血藥;灶心土;
herb;止咳化痰藥;半夏;
herb;止咳化痰藥;竹茹;
herb;止咳化痰藥;貝母;
herb;止咳化痰藥;桔梗;
herb;止咳化痰藥;瓜蔞;
herb;止咳化痰藥;皂角刺;
herb;止咳化痰藥;前胡;
herb;止咳化痰藥;南星;
herb;止咳化痰藥;白前;
herb;止咳化痰藥;竺黃;
herb;止咳化痰藥;旋覆花;
herb;止咳化痰藥;白芥子;
herb;止咳化痰藥;白附子;
herb;止咳化痰藥;海蛤粉;
herb;止咳化痰藥;海藻;
herb;止咳化痰藥;昆布;
herb;止咳化痰藥;礞石;
herb;止咳化痰藥;黃藥子;
herb;止咳化痰藥;胖大海;
herb;止咳化痰藥;豬膽汁;
herb;止咳平喘藥;杏仁;
herb;止咳平喘藥;蘇子;
herb;止咳平喘藥;桑白皮;
herb;止咳平喘藥;葶藶子;
herb;止咳平喘藥;白果;
herb;止咳平喘藥;款冬;
herb;止咳平喘藥;紫苑;
herb;止咳平喘藥;百部;
herb;止咳平喘藥;枇杷葉;
herb;止咳平喘藥;馬兜鈴;
herb;安神藥;遠志;
herb;安神藥;酸棗仁;
herb;安神藥;柏子仁;
herb;安神藥;龍骨;
herb;安神藥;琥珀;
herb;安神藥;硃砂;
herb;安神藥;磁石;
herb;安神藥;合歡皮;
herb;平肝熄風藥;天麻;
herb;平肝熄風藥;鉤藤;
herb;平肝熄風藥;牡蠣;
herb;平肝熄風藥;全蠍;
herb;平肝熄風藥;殭蠶;
herb;平肝熄風藥;地龍;
herb;平肝熄風藥;羚羊角;
herb;平肝熄風藥;決明子;
herb;平肝熄風藥;石決明;
herb;平肝熄風藥;珍珠;
herb;平肝熄風藥;刺蒺藜;
herb;平肝熄風藥;代赭石;
herb;開竅藥;麝香;
herb;開竅藥;冰片;
herb;開竅藥;蘇合香;
herb;開竅藥;石菖蒲;
herb;補氣藥;人參;
herb;補氣藥;西洋參;
herb;補氣藥;黨參;
herb;補氣藥;黃耆;
herb;補氣藥;甘草;
herb;補氣藥;白朮;
herb;補氣藥;山藥;
herb;補氣藥;扁豆;
herb;補氣藥;大棗;
herb;補氣藥;飴糖;
herb;補氣藥;蜂蜜;
herb;補陽藥;補骨脂;
herb;補陽藥;骨碎補;
herb;補陽藥;杜仲;
herb;補陽藥;續斷;
herb;補陽藥;鹿角;
herb;補陽藥;巴戟天;
herb;補陽藥;肉蓯蓉;
herb;補陽藥;淫羊藿;
herb;補陽藥;菟絲子;
herb;補陽藥;紫河車;
herb;補陽藥;葫蘆巴;
herb;補陽藥;狗脊;
herb;補陽藥;仙茅;
herb;補陽藥;益智仁;
herb;補陽藥;冬蟲夏草;
herb;補陽藥;胡桃;
herb;補陽藥;蛤蚧;
herb;補陽藥;鎖陽;
herb;補血藥;當歸;
herb;補血藥;熟地;
herb;補血藥;白芍;
herb;補血藥;阿膠;
herb;補血藥;龍眼;
herb;補血藥;何首烏;
herb;補血藥;夜交藤;
herb;補陰藥;沙參;
herb;補陰藥;麥冬;
herb;補陰藥;天冬;
herb;補陰藥;枸杞;
herb;補陰藥;桑椹;
herb;補陰藥;百合;
herb;補陰藥;石斛;
herb;補陰藥;玉竹;
herb;補陰藥;龜板;
herb;補陰藥;鱉甲;
herb;補陰藥;女貞子;
herb;補陰藥;旱蓮草;
herb;補陰藥;芝麻;
herb;補陰藥;黃精;
herb;收澀藥;五味子;
herb;收澀藥;五倍子;
herb;收澀藥;山茱萸;
herb;收澀藥;桑螵蛸;
herb;收澀藥;肉豆蔻;
herb;收澀藥;烏賊骨;
herb;收澀藥;芡實;
herb;收澀藥;蓮子;
herb;收澀藥;訶子;
herb;收澀藥;烏梅;
herb;收澀藥;覆盆子;
herb;收澀藥;金櫻子;
herb;收澀藥;赤石脂;
herb;收澀藥;禹餘糧;
herb;收澀藥;椿皮;
herb;收澀藥;浮小麥;
herb;收澀藥;麻黃根;
herb;收澀藥;罌粟殼;
herb;收澀藥;刺蝟皮;
herb;湧吐藥;瓜蒂;
herb;湧吐藥;藜蘆;
herb;湧吐藥;常山;
herb;湧吐藥;膽礬;
herb;外用藥;硫磺;
herb;外用藥;雄黃;
herb;外用藥;鉛丹;
herb;外用藥;輕粉;
herb;外用藥;爐甘石;
herb;外用藥;明礬;
herb;外用藥;蛇床子;
herb;外用藥;露蜂房;
herb;外用藥;血竭;
herb;外用藥;絲瓜絡;
