type;value;display;exclude
herbs;蘇子;蘇子;
herbs;桑白皮;桑白皮;
herbs;葶藶子;葶藶子;
herbs;白果;白果;
herbs;款冬;款冬;
herbs;紫苑;紫苑;
herbs;百部;百部;
herbs;枇杷葉;枇杷葉;
herbs;馬兜鈴;馬兜鈴;
herbs;遠志;遠志;
herbs;酸棗仁;酸棗仁;
herbs;柏子仁;柏子仁;
herbs;龍骨;龍骨;
herbs;琥珀;琥珀;
herbs;硃砂;硃砂;
herbs;磁石;磁石;
herbs;合歡皮;合歡皮;
herbs;天麻;天麻;
herbs;鉤藤;鉤藤;
herbs;牡蠣;牡蠣;
herbs;全蠍;全蠍;
herbs;殭蠶;殭蠶;
herbs;地龍;地龍;
herbs;羚羊角;羚羊角;
herbs;決明子;決明子;
herbs;石決明;石決明;
herbs;珍珠;珍珠;
herbs;刺蒺藜;刺蒺藜;
herbs;代赭石;代赭石;
herbs;麝香;麝香;
herbs;冰片;冰片;
herbs;蘇合香;蘇合香;
herbs;石菖蒲;石菖蒲;
herbs;人參;人參;
herbs;西洋參;西洋參;
herbs;黨參;黨參;
herbs;黃耆;黃耆;[生黃耆,炙黃耆]
herbs;生黃耆;生黃耆;[黃耆,炙黃耆]
herbs;炙黃耆;炙黃耆;[生黃耆,黃耆]
herbs;甘草;甘草;[生甘草,炙甘草]
herbs;生甘草;生甘草;[甘草,炙甘草]
herbs;炙甘草;炙甘草;[生甘草,甘草]
herbs;白朮;白朮;
herbs;山藥;山藥;
herbs;扁豆;扁豆;
herbs;大棗;大棗;
herbs;飴糖;飴糖;
herbs;蜂蜜;蜂蜜;
herbs;補骨脂;補骨脂;
herbs;骨碎補;骨碎補;
herbs;杜仲;杜仲;
herbs;續斷;續斷;
herbs;鹿角;鹿角;
herbs;巴戟天;巴戟天;
herbs;肉蓯蓉;肉蓯蓉;
herbs;淫羊藿;淫羊藿;
herbs;菟絲子;菟絲子;
herbs;紫河車;紫河車;
herbs;葫蘆巴;葫蘆巴;
herbs;狗脊;狗脊;
herbs;仙茅;仙茅;
herbs;益智仁;益智仁;
herbs;冬蟲夏草;冬蟲夏草;
herbs;胡桃;胡桃;
herbs;蛤蚧;蛤蚧;
herbs;鎖陽;鎖陽;
herbs;當歸;當歸;
herbs;熟地;熟地;[地黃,生地]
herbs;白芍;白芍;
herbs;阿膠;阿膠;
herbs;龍眼;龍眼;
herbs;何首烏;何首烏;
herbs;夜交藤;夜交藤;
herbs;沙參;沙參;
herbs;麥冬;麥冬;
herbs;天冬;天冬;
herbs;枸杞;枸杞;
herbs;桑椹;桑椹;
herbs;百合;百合;
herbs;石斛;石斛;
herbs;玉竹;玉竹;
herbs;龜板;龜板;
herbs;鱉甲;鱉甲;
herbs;女貞子;女貞子;
herbs;旱蓮草;旱蓮草;
herbs;芝麻;芝麻;
herbs;黃精;黃精;
herbs;五味子;五味子;
herbs;五倍子;五倍子;
herbs;山茱萸;山茱萸;
herbs;桑螵蛸;桑螵蛸;
herbs;肉豆蔻;肉豆蔻;
herbs;烏賊骨;烏賊骨;
herbs;芡實;芡實;
herbs;蓮子;蓮子;
herbs;訶子;訶子;
herbs;烏梅;烏梅;
herbs;覆盆子;覆盆子;
herbs;金櫻子;金櫻子;
herbs;赤石脂;赤石脂;
herbs;禹餘糧;禹餘糧;
herbs;椿皮;椿皮;
herbs;浮小麥;浮小麥;
herbs;麻黃根;麻黃根;
herbs;罌粟殼;罌粟殼;
herbs;刺蝟皮;刺蝟皮;
herbs;瓜蒂;瓜蒂;
herbs;藜蘆;藜蘆;
herbs;常山;常山;
herbs;膽礬;膽礬;
herbs;硫磺;硫磺;
herbs;雄黃;雄黃;
herbs;鉛丹;鉛丹;
herbs;輕粉;輕粉;
herbs;爐甘石;爐甘石;
herbs;明礬;明礬;
herbs;蛇床子;蛇床子;
herbs;露蜂房;露蜂房;
herbs;血竭;血竭;
herbs;絲瓜絡;絲瓜絡;
